title,price,rating,reviews,availability
Sony PS5 PlayStation Console,"49,990.",3.9 out of 5 stars,145 ratings,In stock
Sony PS5 Digital Standalone,"39,990.",4.4 out of 5 stars,47 ratings,
PS5 Grand Theft Auto V,"2,099.",4.3 out of 5 stars,157 ratings,In stock
Call Of Duty : Modern Warfare II | Standard Edition | PlayStation 5 (PS5),"5,800.",3.8 out of 5 stars,41 ratings,Only 1 left in stock
Horizon Forbidden West | Standard Edition | PS5 Game (PlayStation 5),"2,599.",4.6 out of 5 stars,265 ratings,In stock
PS5 Assassin's Creed Valhalla,"1,899.",4.3 out of 5 stars,152 ratings,Only 1 left in stock
F1 22 | Standard Edition | PS5 Game (PlayStation 5) [playstation_5],"4,249.",4.3 out of 5 stars,13 ratings,Only 2 left in stock
FIFA 23 | Standard Edition | PS5 (PlayStation 5),"4,855.",4.6 out of 5 stars,88 ratings,In stock
PS5 Mortal Kombat 11: Ultimate,"2,178.",4.4 out of 5 stars,118 ratings,
Business infrastructure: Business infrastructure it's an organisation of people releasing I courses of how to manage your business,,Previous page,,Not Available
DorcaÂ® Dust Cover for Sony Playstation 5 Cover Disc & Digital Edition,275.,4.4 out of 5 stars,279 ratings,In stock
Resident Evil Village - Lenticular Edition (PS5),"2,300.",Previous page,,In stock
PS5 RATCHET & CLANK: RIFT APART,"2,599.",4.4 out of 5 stars,203 ratings,In stock
Rs.500 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code),500.,4.7 out of 5 stars,"4,570 ratings",In stock
"Samsung HW-Q600A/XL with Wireless Subwoofer 300 W Bluetooth Soundbar (Black, 3.1 Channel)","23,999.",4.1 out of 5 stars,109 ratings,In stock
God Of War Ragnarok |PS5 Game,"4,399.",4.6 out of 5 stars,224 ratings,In stock
Ghost of Tsushima | Director's Cut | PS5 Game,"2,249.",4.1 out of 5 stars,142 ratings,
Hogwarts Legacy | Standard Edition| PlayStation 5 (PS5),"4,533.",4.6 out of 5 stars,50 ratings,Only 1 left in stock
